model,layer,best_C,roc_auc,num_nonzero,sparsity_ratio,top_20_dims
distilled,21,0.1,0.8417893781841022,255,0.166015625,"[300, 167, 252, 1267, 161, 1287, 785, 168, 344, 819, 1103, 693, 957, 1471, 308, 659, 575, 712, 1019, 382]"
base,22,0.1,0.8138041733547352,191,0.12434895833333333,"[1428, 1037, 1474, 384, 1267, 155, 889, 1015, 1441, 800, 1287, 33, 147, 851, 163, 952, 352, 1104, 54, 1162]"
distilled,22,0.1,0.8493788819875776,242,0.15755208333333334,"[300, 168, 308, 167, 915, 1287, 1471, 283, 693, 515, 382, 1499, 252, 78, 1094, 1037, 1477, 82, 597, 91]"
base,23,0.1,0.8258078023588526,213,0.138671875,"[1428, 224, 147, 635, 1150, 331, 725, 1532, 1441, 939, 201, 1287, 911, 159, 1351, 49, 155, 375, 1474, 384]"
distilled,23,0.1,0.8443541070556214,231,0.150390625,"[300, 1503, 624, 515, 1287, 94, 1439, 1137, 1471, 1032, 55, 96, 1098, 82, 1019, 671, 1241, 31, 116, 693]"
base,24,0.1,0.813367994975225,204,0.1328125,"[147, 508, 715, 33, 939, 1150, 201, 1104, 1380, 1474, 410, 889, 1244, 1428, 1087, 14, 515, 224, 868, 1287]"
distilled,24,0.1,0.8470933072789448,240,0.15625,"[300, 1137, 1241, 605, 1041, 1287, 3, 310, 904, 1503, 624, 772, 1383, 693, 1433, 702, 116, 1032, 838, 1194]"
base,25,0.1,0.812844580919813,208,0.13541666666666666,"[147, 1287, 939, 715, 1400, 1087, 508, 201, 224, 1150, 644, 1499, 266, 1214, 779, 1037, 827, 1168, 1147, 438]"
distilled,25,0.1,0.8457149835996929,244,0.15885416666666666,"[1137, 1383, 1041, 1503, 300, 573, 997, 3, 554, 1287, 605, 1053, 631, 671, 1457, 1155, 978, 695, 403, 778]"
base,26,0.1,0.8173808360667179,219,0.142578125,"[939, 49, 438, 827, 1287, 176, 1185, 54, 224, 147, 308, 848, 899, 310, 311, 779, 138, 1377, 282, 985]"
distilled,26,0.1,0.8449124153813944,251,0.16341145833333334,"[1137, 1041, 243, 997, 1457, 573, 978, 695, 1053, 1270, 554, 1287, 689, 1205, 749, 493, 233, 1165, 1223, 1384]"
base,27,0.1,0.8075406518249704,231,0.150390625,"[308, 1287, 438, 827, 610, 1087, 779, 100, 1214, 407, 1260, 1127, 547, 284, 1405, 41, 242, 676, 147, 310]"
distilled,27,0.1,0.8355781980598785,283,0.18424479166666666,"[86, 1137, 162, 540, 243, 497, 623, 1457, 862, 1152, 554, 695, 1198, 258, 193, 1041, 978, 495, 457, 309]"
base,28,0.1,0.7925535627050038,244,0.15885416666666666,"[1287, 308, 1360, 91, 438, 407, 543, 54, 252, 802, 162, 1324, 623, 414, 334, 625, 338, 892, 1351, 121]"
distilled,28,0.1,0.8346186056249564,272,0.17708333333333334,"[162, 1471, 1137, 243, 1152, 457, 276, 978, 540, 1287, 862, 497, 1205, 655, 1437, 1457, 1185, 358, 1338, 258]"
