model_key,layer,probe_type,best_C,roc_auc,precision,recall,f1,ece
base,24,linear,0.01,0.955478949684612,0.7142857142857143,0.8823529411764706,0.7894736842105263,0.06522149480748145
base,24,mlp,,0.952056134174368,0.7244094488188977,0.9019607843137255,0.8034934497816594,0.056932863981183426
base,25,linear,0.01,0.9512248789790231,0.6946564885496184,0.8921568627450981,0.7811158798283262,0.06580707284240359
base,25,mlp,,0.9359200039117891,0.6714285714285714,0.9215686274509803,0.7768595041322314,0.06502126308369116
base,26,linear,0.01,0.9504425211481101,0.7109375,0.8921568627450981,0.7913043478260869,0.06452256451319315
base,26,mlp,,0.9509803921568627,0.72,0.8823529411764706,0.7929515418502202,0.04834476135167522
base,27,linear,0.01,0.9521050315388,0.7086614173228346,0.8823529411764706,0.7860262008733624,0.06368958194631222
base,27,mlp,,0.9345997750721236,0.6865671641791045,0.9019607843137255,0.7796610169491526,0.057080985285771296
base,28,linear,0.01,0.9512982250256711,0.7096774193548387,0.8627450980392157,0.7787610619469026,0.06779878215212697
base,28,mlp,,0.9456505794337685,0.688,0.8431372549019608,0.7577092511013216,0.05458180351593859
distilled,0,linear,0.01,0.8284191482079115,0.6542056074766355,0.6862745098039216,0.6698564593301436,0.19561021945334206
distilled,0,mlp,,0.817661728032859,0.5467625899280576,0.7450980392156863,0.6307053941908713,0.3208732326472434
distilled,1,linear,0.01,0.8992225319055303,0.5620437956204379,0.7549019607843137,0.6443514644351465,0.10743664328603883
distilled,1,mlp,,0.8986357635323455,0.5597014925373134,0.7352941176470589,0.635593220338983,0.0930183285154832
distilled,2,linear,0.01,0.9104689257249035,0.5714285714285714,0.7450980392156863,0.6468085106382979,0.08553505699520056
distilled,2,mlp,,0.8996137108209867,0.5703703703703704,0.7549019607843137,0.6497890295358649,0.1031514631962
distilled,3,linear,0.01,0.9097843626228547,0.608,0.7450980392156863,0.6696035242290749,0.07798638668348234
distilled,3,mlp,,0.9060681629260183,0.6,0.7647058823529411,0.6724137931034483,0.08272228011154156
distilled,4,linear,0.01,0.9231822404772383,0.6434108527131783,0.8137254901960784,0.7186147186147186,0.0795778995711832
distilled,4,mlp,,0.9087330692875655,0.6557377049180327,0.7843137254901961,0.7142857142857143,0.08169676863382871
distilled,5,linear,0.01,0.9303946017309667,0.6532258064516129,0.7941176470588235,0.7168141592920354,0.07945865655898253
distilled,5,mlp,,0.9164344041856144,0.5958904109589042,0.8529411764705882,0.7016129032258065,0.09428020200838388
distilled,6,linear,0.01,0.9227910615617818,0.6461538461538462,0.8235294117647058,0.7241379310344828,0.07948885550281946
distilled,6,mlp,,0.9074372891301158,0.6126760563380281,0.8529411764705882,0.7131147540983607,0.09688728528234285
distilled,7,linear,0.01,0.9285365018825485,0.648854961832061,0.8333333333333334,0.7296137339055794,0.08662892626233913
distilled,7,mlp,,0.9156764950369175,0.6,0.8529411764705882,0.7044534412955465,0.09555954951978107
distilled,8,linear,0.01,0.9372646814336707,0.6774193548387096,0.8235294117647058,0.7433628318584071,0.07790714393951277
distilled,8,mlp,,0.9350887487164441,0.6190476190476191,0.8921568627450981,0.7309236947791165,0.10363533405983305
distilled,9,linear,0.01,0.9411031245415872,0.7226890756302521,0.8431372549019608,0.7782805429864253,0.06811526610366174
distilled,9,mlp,,0.940051831206298,0.5822784810126582,0.9019607843137255,0.7076923076923077,0.1298729064791032
distilled,10,linear,0.01,0.944257004547455,0.7217391304347827,0.8137254901960784,0.7649769585253456,0.06514355268149426
distilled,10,mlp,,0.944379247958535,0.7368421052631579,0.8235294117647058,0.7777777777777778,0.05878021015561599
distilled,11,linear,0.01,0.9509559434746466,0.7345132743362832,0.8137254901960784,0.772093023255814,0.05165394570107355
distilled,11,mlp,,0.9458461688914968,0.7008547008547008,0.803921568627451,0.7488584474885844,0.0583063540109998
distilled,12,linear,0.01,0.9542565155738105,0.7433628318584071,0.8235294117647058,0.7813953488372093,0.04979131578437428
distilled,12,mlp,,0.9446726321451274,0.7663551401869159,0.803921568627451,0.784688995215311,0.056794187298440796
distilled,13,linear,0.01,0.9581194073639431,0.7522123893805309,0.8333333333333334,0.7906976744186046,0.051656563726214
distilled,13,mlp,,0.954623245807051,0.7007874015748031,0.8725490196078431,0.777292576419214,0.07066550075815282
distilled,14,linear,0.01,0.9608821084543544,0.7678571428571429,0.8431372549019608,0.8037383177570093,0.045784836451570485
distilled,14,mlp,,0.9474842305999707,0.7203389830508474,0.8333333333333334,0.7727272727272727,0.05506802044408933
distilled,15,linear,0.01,0.9552833602268839,0.7652173913043478,0.8627450980392157,0.8110599078341014,0.04660162541904792
distilled,15,mlp,,0.9517871986699917,0.696,0.8529411764705882,0.7665198237885462,0.06839983659994532
distilled,16,linear,0.01,0.9595374309324728,0.7131147540983607,0.8529411764705882,0.7767857142857143,0.048180328217919025
distilled,16,mlp,,0.9538897853405702,0.6946564885496184,0.8921568627450981,0.7811158798283262,0.06387334255312771
distilled,17,linear,0.01,0.9577526771307027,0.717741935483871,0.8725490196078431,0.7876106194690266,0.047739627997652315
distilled,17,mlp,,0.9570436653464378,0.7,0.8921568627450981,0.7844827586206896,0.059453759986766525
distilled,18,linear,0.01,0.9586083810082636,0.7540983606557377,0.9019607843137255,0.8214285714285714,0.05333001087905835
distilled,18,mlp,,0.9526917999119848,0.7636363636363637,0.8235294117647058,0.7924528301886793,0.04703099481857735
distilled,19,linear,0.01,0.9609799031832184,0.7398373983739838,0.8921568627450981,0.8088888888888889,0.050868719975848874
distilled,19,mlp,,0.9583149968216713,0.6762589928057554,0.9215686274509803,0.7800829875518672,0.07719378374057784
distilled,20,linear,0.01,0.9601241993056574,0.7175572519083969,0.9215686274509803,0.8068669527896996,0.059869231728324666
distilled,20,mlp,,0.9527162485942008,0.7295081967213115,0.8725490196078431,0.7946428571428571,0.06017429612680648
distilled,21,linear,0.01,0.9565546917021174,0.7175572519083969,0.9215686274509803,0.8068669527896996,0.06105829931401142
distilled,21,mlp,,0.9512982250256712,0.7230769230769231,0.9215686274509803,0.8103448275862069,0.053854094614565494
distilled,22,linear,0.01,0.9552589115446677,0.71875,0.9019607843137255,0.8,0.055873758772632495
distilled,22,mlp,,0.9524717617720404,0.7121212121212122,0.9215686274509803,0.8034188034188035,0.06036510142714349
distilled,23,linear,0.01,0.9579482665884308,0.7244094488188977,0.9019607843137255,0.8034934497816594,0.05497828280802395
distilled,23,mlp,,0.9530585301452251,0.6962962962962963,0.9215686274509803,0.7932489451476793,0.06798578073153971
distilled,24,linear,0.01,0.9619578504718596,0.7286821705426356,0.9215686274509803,0.8138528138528138,0.05591745273126214
distilled,24,mlp,,0.9514449171189673,0.7089552238805971,0.9313725490196079,0.8050847457627118,0.05652745728701294
distilled,25,linear,0.01,0.9590484572881521,0.71875,0.9019607843137255,0.8,0.05834027374456311
distilled,25,mlp,,0.9583149968216713,0.7286821705426356,0.9215686274509803,0.8138528138528138,0.055749897709001545
distilled,26,linear,0.01,0.9616155689208352,0.7230769230769231,0.9215686274509803,0.8103448275862069,0.05921613373649457
distilled,26,mlp,,0.95709256271087,0.7099236641221374,0.9117647058823529,0.7982832618025751,0.06295132594068292
distilled,27,linear,0.01,0.9593907388391766,0.7165354330708661,0.8921568627450981,0.7947598253275109,0.058207910620677504
distilled,27,mlp,,0.946115104395873,0.5987654320987654,0.9509803921568627,0.7348484848484849,0.11860350512753187
distilled,28,linear,0.01,0.958803970465992,0.7007874015748031,0.8725490196078431,0.777292576419214,0.05615118024949786
distilled,28,mlp,,0.9432546085765977,0.58125,0.9117647058823529,0.7099236641221374,0.11677601672783047
