layer_i,layer_j,cka
18,3,0.76961749792099
18,4,0.792612612247467
18,5,0.8269257545471191
18,6,0.823908805847168
18,7,0.8281909227371216
18,8,0.8513632416725159
18,9,0.8665180802345276
18,10,0.8894234299659729
18,11,0.9070932865142822
18,12,0.9269535541534424
18,13,0.9381331205368042
18,14,0.9483253359794617
18,15,0.960433304309845
18,16,0.9695607423782349
18,17,0.9849731922149658
18,18,0.9999997019767761
18,19,0.9907373189926147
18,20,0.9633124470710754
18,21,0.9247624278068542
18,22,0.8895349502563477
18,23,0.8599694967269897
18,24,0.8440510034561157
18,25,0.853308379650116
18,26,0.8447357416152954
18,27,0.8407115340232849
18,28,0.6335906982421875
19,0,0.6463238000869751
19,1,0.6603593230247498
19,2,0.6972357034683228
19,3,0.7610656023025513
19,4,0.7820504307746887
19,5,0.8129661083221436
19,6,0.8097464442253113
19,7,0.8132030367851257
19,8,0.8375834822654724
19,9,0.8518272638320923
19,10,0.8737786412239075
19,11,0.8904873132705688
19,12,0.9114407896995544
19,13,0.9232286214828491
19,14,0.9382944107055664
19,15,0.9484544396400452
19,16,0.9593457579612732
19,17,0.9744923114776611
19,18,0.9907377362251282
19,19,0.9999997615814209
19,20,0.9708671569824219
19,21,0.9310111999511719
19,22,0.8954148292541504
19,23,0.8668304681777954
19,24,0.850584089756012
19,25,0.8625861406326294
19,26,0.8529130816459656
19,27,0.848135232925415
19,28,0.6232611536979675
20,0,0.66010582447052
20,1,0.6415438652038574
20,2,0.6600160598754883
20,3,0.7357527017593384
20,4,0.7499605417251587
20,5,0.8016030192375183
20,6,0.7999119758605957
20,7,0.7951049208641052
20,8,0.8082610964775085
20,9,0.8255560398101807
20,10,0.8407186269760132
20,11,0.8570500612258911
20,12,0.8749579191207886
20,13,0.8892550468444824
20,14,0.8938899636268616
20,15,0.9119391441345215
20,16,0.9169480800628662
20,17,0.9399150013923645
20,18,0.9633122682571411
20,19,0.9708665609359741
20,20,1.0
20,21,0.9798831343650818
20,22,0.9562469124794006
20,23,0.9344870448112488
20,24,0.9217897653579712
20,25,0.9253397583961487
20,26,0.919130802154541
20,27,0.9153520464897156
20,28,0.6776847243309021
21,0,0.657988965511322
21,1,0.6080852746963501
21,2,0.6162605285644531
21,3,0.6951507329940796
21,4,0.7074224948883057
21,5,0.776699423789978
21,6,0.7703885436058044
21,7,0.7588528394699097
21,8,0.7683731317520142
21,9,0.7839909791946411
21,10,0.7982031106948853
21,11,0.8116333484649658
21,12,0.832635223865509
21,13,0.8471523523330688
21,14,0.8471258878707886
21,15,0.8640952706336975
21,16,0.8693811893463135
21,17,0.897337019443512
21,18,0.9247618913650513
21,19,0.9310113191604614
21,20,0.9798834919929504
21,21,1.0
21,22,0.9875594973564148
21,23,0.9769077897071838
21,24,0.9685899019241333
21,25,0.9642750024795532
21,26,0.9573901891708374
21,27,0.9477581977844238
21,28,0.6830543875694275
22,0,0.6371257901191711
22,1,0.5734432935714722
22,2,0.5776128768920898
22,3,0.6581830978393555
22,4,0.6705476641654968
22,5,0.745961606502533
22,6,0.7403632402420044
22,7,0.7242075204849243
22,8,0.7304649353027344
22,9,0.7451555728912354
22,10,0.7567484974861145
22,11,0.769240140914917
22,12,0.7903026938438416
22,13,0.8047953248023987
22,14,0.7998358011245728
22,15,0.8180456161499023
22,16,0.8228931427001953
22,17,0.8530479073524475
22,18,0.8895360231399536
22,19,0.895415723323822
22,20,0.9562469124794006
22,21,0.9875586032867432
22,22,1.0
22,23,0.9904372096061707
22,24,0.9831445217132568
22,25,0.9792315363883972
22,26,0.9731183648109436
22,27,0.9636521935462952
22,28,0.6769133806228638
23,0,0.6294838786125183
23,1,0.5533915162086487
23,2,0.5540456771850586
23,3,0.6350383758544922
23,4,0.642984926700592
23,5,0.7275351881980896
23,6,0.7178076505661011
23,7,0.7001664042472839
23,8,0.7072709798812866
23,9,0.7211530804634094
23,10,0.7329107522964478
23,11,0.7413448095321655
23,12,0.7660361528396606
23,13,0.7813454270362854
23,14,0.7758955955505371
23,15,0.7924419641494751
23,16,0.7961934208869934
23,17,0.8266296982765198
23,18,0.8599692583084106
23,19,0.8668311834335327
23,20,0.934487521648407
23,21,0.9769087433815002
23,22,0.9904369115829468
23,23,1.0000001192092896
23,24,0.9961525797843933
23,25,0.9882797002792358
23,26,0.9820914268493652
23,27,0.9668387770652771
23,28,0.6569703221321106
24,0,0.6342686414718628
24,1,0.5576993823051453
24,2,0.5544057488441467
24,3,0.6340922117233276
24,4,0.6387202739715576
24,5,0.726474404335022
24,6,0.7165433168411255
24,7,0.698232889175415
24,8,0.7030186653137207
24,9,0.7156471014022827
24,10,0.7251389026641846
24,11,0.7313550114631653
24,12,0.7557798624038696
24,13,0.7712821960449219
24,14,0.7627623677253723
24,15,0.7784438133239746
24,16,0.7796396613121033
24,17,0.8107466697692871
24,18,0.8440502882003784
24,19,0.850583553314209
24,20,0.9217901825904846
24,21,0.9685900807380676
24,22,0.9831444025039673
24,23,0.9961523413658142
24,24,0.9999998211860657
24,25,0.9912884831428528
24,26,0.9876593351364136
24,27,0.9724118709564209
24,28,0.6654204726219177
25,0,0.6175393462181091
25,1,0.5548149347305298
25,2,0.5587567090988159
25,3,0.64174485206604
25,4,0.6483515501022339
25,5,0.7252383232116699
25,6,0.7157326340675354
25,7,0.6974813342094421
25,8,0.7052868008613586
25,9,0.7180212140083313
25,10,0.7297216057777405
25,11,0.7362658977508545
25,12,0.7623428702354431
25,13,0.7773983478546143
25,14,0.7721508741378784
25,15,0.7860249876976013
25,16,0.7905005812644958
25,17,0.8173311948776245
25,18,0.8533068895339966
25,19,0.8625858426094055
25,20,0.9253397583961487
25,21,0.9642742276191711
25,22,0.9792311191558838
25,23,0.9882804751396179
25,24,0.991287887096405
25,25,1.0
