base_layer,distilled_layer,cka
7,15,0.8852164149284363
7,16,0.8584615588188171
7,17,0.8629320859909058
7,18,0.8541909456253052
7,19,0.8340890407562256
7,20,0.8309245705604553
7,21,0.8185854554176331
7,22,0.8075513243675232
7,23,0.7994810938835144
7,24,0.7966682314872742
7,25,0.7979122400283813
7,26,0.8028064370155334
7,27,0.8108123540878296
7,28,0.8100540637969971
8,0,0.818244993686676
8,1,0.8664080500602722
8,2,0.880906343460083
8,3,0.9293978810310364
8,4,0.9206500053405762
8,5,0.9424872398376465
8,6,0.9461121559143066
8,7,0.9563767910003662
8,8,0.9611901640892029
8,9,0.950904130935669
8,10,0.9449656009674072
8,11,0.9344512224197388
8,12,0.928625226020813
8,13,0.9287312626838684
8,14,0.902706503868103
8,15,0.8981962203979492
8,16,0.8741217255592346
8,17,0.8754339218139648
8,18,0.8632172346115112
8,19,0.8446478843688965
8,20,0.8313805460929871
8,21,0.8158297538757324
8,22,0.8023415207862854
8,23,0.7933847308158875
8,24,0.7901800870895386
8,25,0.7922660112380981
8,26,0.7956362366676331
8,27,0.8015480637550354
8,28,0.7883070111274719
9,0,0.7864114046096802
9,1,0.8295533061027527
9,2,0.852980375289917
9,3,0.9176892638206482
9,4,0.9154669642448425
9,5,0.9278846979141235
9,6,0.9322577118873596
9,7,0.9410626292228699
9,8,0.9492287635803223
9,9,0.9551393985748291
9,10,0.9488467574119568
9,11,0.9387686848640442
9,12,0.9315071702003479
9,13,0.9333595633506775
9,14,0.9117066860198975
9,15,0.9071614742279053
9,16,0.883598804473877
9,17,0.8824138641357422
9,18,0.8682952523231506
9,19,0.8498769998550415
9,20,0.8319705724716187
9,21,0.8109797835350037
9,22,0.7970775365829468
9,23,0.7847362160682678
9,24,0.7796783447265625
9,25,0.784230649471283
9,26,0.7863956093788147
9,27,0.7929257750511169
9,28,0.7665460705757141
10,0,0.7599995732307434
10,1,0.796834409236908
10,2,0.8269262313842773
10,3,0.897543728351593
10,4,0.898507297039032
10,5,0.912550151348114
10,6,0.9155661463737488
10,7,0.9237304329872131
10,8,0.9336135983467102
10,9,0.9372819066047668
10,10,0.9469729065895081
10,11,0.9367790222167969
10,12,0.932895302772522
10,13,0.9321463704109192
10,14,0.9169111847877502
10,15,0.9106892943382263
10,16,0.8947063088417053
10,17,0.8889366984367371
10,18,0.8730074167251587
10,19,0.8543227910995483
10,20,0.8286181092262268
10,21,0.8081786036491394
10,22,0.7923248410224915
10,23,0.7788239121437073
10,24,0.7734124660491943
10,25,0.7784817814826965
10,26,0.7798210382461548
10,27,0.7856917381286621
10,28,0.7529895305633545
11,0,0.7450028657913208
11,1,0.7805795073509216
11,2,0.8085445165634155
11,3,0.877476155757904
11,4,0.8805202841758728
11,5,0.8950310945510864
11,6,0.9000927209854126
11,7,0.9075009226799011
11,8,0.9169861078262329
11,9,0.9205750226974487
11,10,0.9329347610473633
11,11,0.9374886155128479
11,12,0.9324022531509399
11,13,0.9295031428337097
11,14,0.9176974892616272
11,15,0.9125057458877563
11,16,0.9003399014472961
11,17,0.8933319449424744
11,18,0.8785845041275024
11,19,0.8594865202903748
11,20,0.8301820158958435
11,21,0.8080652356147766
11,22,0.7922046184539795
11,23,0.7755962610244751
11,24,0.7689892053604126
11,25,0.774666428565979
11,26,0.7759643793106079
11,27,0.7833134531974792
11,28,0.7568238973617554
12,0,0.7491811513900757
12,1,0.7756765484809875
12,2,0.8008345365524292
12,3,0.8729295134544373
12,4,0.8756201267242432
12,5,0.8951348066329956
12,6,0.8983333110809326
12,7,0.9047983288764954
12,8,0.9152155518531799
12,9,0.9180588722229004
12,10,0.9319043755531311
12,11,0.9341837763786316
12,12,0.9400046467781067
12,13,0.9369205832481384
12,14,0.9270886182785034
12,15,0.9216888546943665
