layer_i,layer_j,cka
21,22,0.9857928156852722
21,23,0.983386754989624
21,24,0.9752212762832642
21,25,0.9687806367874146
21,26,0.9596706032752991
21,27,0.9431138634681702
21,28,0.6077803373336792
22,0,0.6826976537704468
22,1,0.619574248790741
22,2,0.6359537839889526
22,3,0.750226616859436
22,4,0.7557341456413269
22,5,0.7997078895568848
22,6,0.8109094500541687
22,7,0.8069736361503601
22,8,0.801607608795166
22,9,0.807311475276947
22,10,0.8053089380264282
22,11,0.822426438331604
22,12,0.8437439799308777
22,13,0.8589498400688171
22,14,0.8600992560386658
22,15,0.8800494074821472
22,16,0.8889124393463135
22,17,0.910340428352356
22,18,0.9286451935768127
22,19,0.9349761605262756
22,20,0.9668110013008118
22,21,0.9857931733131409
22,22,1.0
22,23,0.9907066226005554
22,24,0.9816069006919861
22,25,0.9783676862716675
22,26,0.9709733128547668
22,27,0.9570607542991638
22,28,0.6117339134216309
23,0,0.6941434144973755
23,1,0.6157658100128174
23,2,0.6288523077964783
23,3,0.7499945163726807
23,4,0.7484925389289856
23,5,0.7992541193962097
23,6,0.8090406656265259
23,7,0.8055916428565979
23,8,0.7996145486831665
23,9,0.8020004034042358
23,10,0.7989475131034851
23,11,0.8134679794311523
23,12,0.8368643522262573
23,13,0.8533183336257935
23,14,0.8531724214553833
23,15,0.8719256520271301
23,16,0.880052387714386
23,17,0.9055759310722351
23,18,0.9216795563697815
23,19,0.9279954433441162
23,20,0.9616531133651733
23,21,0.9833866357803345
23,22,0.9907062649726868
23,23,1.0
23,24,0.9939600229263306
23,25,0.9876682162284851
23,26,0.9802095293998718
23,27,0.9630627036094666
23,28,0.601495623588562
24,0,0.6837891340255737
24,1,0.6069873571395874
24,2,0.6189104318618774
24,3,0.739067018032074
24,4,0.7373632788658142
24,5,0.7874682545661926
24,6,0.7980062961578369
24,7,0.7944860458374023
24,8,0.7875028252601624
24,9,0.7878140211105347
24,10,0.7841732501983643
24,11,0.799006998538971
24,12,0.823373019695282
24,13,0.8423198461532593
24,14,0.8414773941040039
24,15,0.8589680194854736
24,16,0.8671063780784607
24,17,0.8962183594703674
24,18,0.9078314900398254
24,19,0.9128216505050659
24,20,0.946284830570221
24,21,0.9752212762832642
24,22,0.9816074371337891
24,23,0.9939594864845276
24,24,1.0
24,25,0.994040310382843
24,26,0.9883301258087158
24,27,0.9708155393600464
24,28,0.6053354740142822
25,0,0.654036283493042
25,1,0.584498405456543
25,2,0.6031139492988586
25,3,0.7230849862098694
25,4,0.7276989817619324
25,5,0.7730920910835266
25,6,0.7833548784255981
25,7,0.7779748439788818
25,8,0.7726840376853943
25,9,0.7762879133224487
25,10,0.7755011320114136
25,11,0.791050374507904
25,12,0.8161762356758118
25,13,0.8352099061012268
25,14,0.8359772562980652
25,15,0.8536720871925354
25,16,0.8643151521682739
25,17,0.891302227973938
25,18,0.9031416177749634
25,19,0.910129725933075
25,20,0.9406269192695618
25,21,0.9687801003456116
25,22,0.9783678650856018
25,23,0.9876675605773926
25,24,0.9940405488014221
25,25,1.0
25,26,0.9942246675491333
25,27,0.9795845150947571
25,28,0.6037115454673767
26,0,0.6420343518257141
26,1,0.5848422646522522
26,2,0.6037917733192444
26,3,0.7191261053085327
26,4,0.7245171070098877
26,5,0.7648757100105286
26,6,0.7770373821258545
26,7,0.772264301776886
26,8,0.7658185362815857
26,9,0.7700484395027161
26,10,0.7685290575027466
26,11,0.7850440740585327
26,12,0.8092484474182129
26,13,0.8286613821983337
26,14,0.8292310237884521
26,15,0.8461695313453674
26,16,0.8563672304153442
26,17,0.8829886317253113
26,18,0.8940238356590271
26,19,0.9030663967132568
26,20,0.9315128326416016
26,21,0.9596700072288513
26,22,0.9709722995758057
26,23,0.9802096486091614
26,24,0.9883301854133606
26,25,0.9942247867584229
26,26,1.0
26,27,0.9895935654640198
26,28,0.6306102275848389
27,0,0.6270171999931335
27,1,0.5924850106239319
27,2,0.611703097820282
27,3,0.7178345322608948
27,4,0.7237253189086914
27,5,0.7573180198669434
27,6,0.7722399234771729
27,7,0.7683682441711426
27,8,0.7598891258239746
27,9,0.7646715641021729
27,10,0.7619893550872803
27,11,0.7801539301872253
27,12,0.8017696738243103
27,13,0.8205164074897766
27,14,0.8200134634971619
27,15,0.8379344344139099
27,16,0.8467908501625061
27,17,0.8715950846672058
27,18,0.8810197710990906
27,19,0.8918267488479614
27,20,0.917247474193573
27,21,0.943113386631012
27,22,0.9570608139038086
27,23,0.9630625247955322
27,24,0.9708150625228882
27,25,0.979583740234375
27,26,0.9895939230918884
27,27,1.0
27,28,0.6745827198028564
28,0,0.4983852207660675
28,1,0.6643816828727722
28,2,0.643441379070282
28,3,0.6285390853881836
28,4,0.6203864216804504
28,5,0.5972775220870972
28,6,0.6283323764801025
28,7,0.6414281129837036
28,8,0.6214141845703125
28,9,0.6103179454803467
28,10,0.5905818939208984
28,11,0.6120947003364563
28,12,0.5997415781021118
28,13,0.6052862405776978
28,14,0.5913119316101074
28,15,0.60169917345047
28,16,0.5891412496566772
28,17,0.5928610563278198
28,18,0.5965061187744141
28,19,0.5999117493629456
28,20,0.6013875603675842
28,21,0.6077810525894165
28,22,0.6117346286773682
28,23,0.6014962196350098
28,24,0.6053368449211121
28,25,0.603712260723114
28,26,0.6306111216545105
28,27,0.674583911895752
28,28,1.0
